review,sentiment,theme
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",NEGATIVE,Customer Support
what is this app problem???,NEGATIVE,Other
the app is proactive and a good connections.,POSITIVE,Other
I cannot send to cbebirr app. through this app.,NEGATIVE,Other
good,POSITIVE,Other
not functional,NEGATIVE,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",NEGATIVE,Other
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,NEGATIVE,Other
best,POSITIVE,Other
bezabih,POSITIVE,Other
Best Mobile Banking app ever,POSITIVE,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,NEGATIVE,Other
Good,POSITIVE,Other
👌👍,NEGATIVE,Other
very niec,POSITIVE,Other
best app of finance,POSITIVE,Other
yetemeta,POSITIVE,Other
Engida Kebede Fetera,NEGATIVE,Other
it is not safety,NEGATIVE,Other
NICE bank,POSITIVE,Other
it is like a childish app make it better the worst I have ever seen,NEGATIVE,Other
"It's a problem solver application, go ahead CBE, I love so much.",POSITIVE,Other
It's good but try to make it facilitate for your client,POSITIVE,Other
best app,POSITIVE,Other
Awesome bank,POSITIVE,Other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,NEGATIVE,UI/UX
Masha alla,NEGATIVE,Other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",NEGATIVE,Other
better service,POSITIVE,Other
"it,s good app and time manager 👍",POSITIVE,Other
malkaamuu Jiidhaa Namoo,NEGATIVE,Other
lower system everything,NEGATIVE,Other
Nice!,POSITIVE,Other
Keep it up My CBE,POSITIVE,Other
yes good,POSITIVE,Other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",NEGATIVE,App Stability
i like everything of this app,POSITIVE,Other
🤬🤬🤬🤬 network 🛜,NEGATIVE,Other
Best,POSITIVE,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,POSITIVE,Other
nice,POSITIVE,Other
good job,POSITIVE,Other
it's awesome!!,POSITIVE,Other
thankyou every one,POSITIVE,Other
Ronaldo 🇵🇹 🥇,POSITIVE,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",POSITIVE,Customer Support
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",NEGATIVE,Other
mortuary app,NEGATIVE,Other
it is smart app but it has stoped after some period of time on my device with out any reason .,NEGATIVE,Other
amazing app I am used this app for one year,POSITIVE,Other
👍,NEGATIVE,Other
good app,POSITIVE,Other
i love it 😍😘,POSITIVE,Other
It makes life easy!👌,POSITIVE,Other
its not fast,NEGATIVE,Other
wow,POSITIVE,Other
it is sooo good,POSITIVE,Other
excellent,POSITIVE,Other
ok,POSITIVE,Other
Fantastic,POSITIVE,Other
accessible to using,POSITIVE,Other
I like it,POSITIVE,Other
why you change default network?,NEGATIVE,Other
very nice 👍,POSITIVE,Other
nice fast app,POSITIVE,Other
how to I get my money,NEGATIVE,Other
"Very bad, can't even load they need to improve their services.",NEGATIVE,Other
"Very good app, but please make it reliable . it crashes sometimes .",POSITIVE,App Stability
very busy I don't know why... I prefer 889,NEGATIVE,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",NEGATIVE,Other
